season,name,points
2015,Valtteri Bottas,136
2015,Sebastian Vettel,278
2015,Max Verstappen,49
2015,Lewis Hamilton,381
2015,Kimi Räikkönen,150
2015,Daniel Ricciardo,92
2016,Valtteri Bottas,85
2016,Sebastian Vettel,212
2016,Max Verstappen,204
2016,Lewis Hamilton,380
2016,Kimi Räikkönen,186
2016,Daniel Ricciardo,256
2017,Valtteri Bottas,305
2017,Sebastian Vettel,317
2017,Max Verstappen,168
2017,Lewis Hamilton,363
2017,Kimi Räikkönen,205
2017,Daniel Ricciardo,200
2018,Valtteri Bottas,247
2018,Sebastian Vettel,320
2018,Max Verstappen,249
2018,Lewis Hamilton,408
2018,Kimi Räikkönen,251
2018,Daniel Ricciardo,170
2019,Valtteri Bottas,326
2019,Sebastian Vettel,240
2019,Max Verstappen,278
2019,Lewis Hamilton,415
2019,Kimi Räikkönen,43
2019,Daniel Ricciardo,62